dataset,split,index,compound_id
3class_dedup,train,2174,CHEMBL1955869
3class_dedup,train,2017,CHEMBL133145
3class_dedup,train,1354,CHEMBL373427
3class_dedup,train,379,CHEMBL24580
3class_dedup,train,3028,CHEMBL5425433
3class_dedup,train,223,CHEMBL5416052
3class_dedup,train,225,CHEMBL491023
3class_dedup,train,3040,CHEMBL353068
3class_dedup,train,21,CHEMBL1939523
3class_dedup,train,868,CHEMBL220793
3class_dedup,train,448,CHEMBL28668
3class_dedup,train,1520,CHEMBL132530
3class_dedup,train,1532,CHEMBL5268776
3class_dedup,train,1862,CHEMBL1825035
3class_dedup,train,1539,CHEMBL3754157
3class_dedup,train,1972,CHEMBL135563
3class_dedup,train,2810,CHEMBL1083664
3class_dedup,train,1124,CHEMBL3359957
3class_dedup,train,2745,CHEMBL4174637
3class_dedup,train,2453,CHEMBL479737
3class_dedup,train,2933,CHEMBL87333
3class_dedup,train,2334,CHEMBL226891
3class_dedup,train,147,CHEMBL5265808
3class_dedup,train,109,CHEMBL3623223
3class_dedup,train,2135,CHEMBL3415174
3class_dedup,train,501,CHEMBL5290446
3class_dedup,train,1690,CHEMBL5274777
3class_dedup,train,2395,CHEMBL1956171
3class_dedup,train,1210,CHEMBL366772
3class_dedup,train,50,CHEMBL193606
3class_dedup,train,623,CHEMBL422858
3class_dedup,train,2788,CHEMBL364326
3class_dedup,train,1593,CHEMBL3752440
3class_dedup,train,580,CHEMBL5274501
3class_dedup,train,1111,CHEMBL465845
3class_dedup,train,585,CHEMBL441404
3class_dedup,train,2689,CHEMBL4163649
3class_dedup,train,2078,CHEMBL5423840
3class_dedup,train,2943,CHEMBL5175025
3class_dedup,train,887,CHEMBL5276017
3class_dedup,train,1673,CHEMBL5267929
3class_dedup,train,2820,CHEMBL350922
3class_dedup,train,2607,CHEMBL62811
3class_dedup,train,1964,CHEMBL135172
3class_dedup,train,509,CHEMBL3754701
3class_dedup,train,2978,CHEMBL503399
3class_dedup,train,652,CHEMBL8646
3class_dedup,train,81,CHEMBL5427725
3class_dedup,train,3025,CHEMBL5394706
3class_dedup,train,192,CHEMBL3623208
3class_dedup,train,2508,CHEMBL1784797
3class_dedup,train,2521,CHEMBL3359962
3class_dedup,train,346,CHEMBL5279139
3class_dedup,train,1229,CHEMBL176101
3class_dedup,train,601,CHEMBL3752650
3class_dedup,train,1669,CHEMBL5282717
3class_dedup,train,2030,CHEMBL5424630
3class_dedup,train,1459,CHEMBL3754204
3class_dedup,train,876,CHEMBL5407335
3class_dedup,train,2672,CHEMBL496777
3class_dedup,train,1773,CHEMBL1630266
3class_dedup,train,2725,CHEMBL3805839
3class_dedup,train,1822,CHEMBL3806185
3class_dedup,train,1327,CHEMBL91101
3class_dedup,train,702,CHEMBL5409914
3class_dedup,train,2062,CHEMBL4176600
3class_dedup,train,2038,CHEMBL3622363
3class_dedup,train,545,CHEMBL5404029
3class_dedup,train,293,CHEMBL5284015
3class_dedup,train,827,CHEMBL5439659
3class_dedup,train,1961,CHEMBL5398859
3class_dedup,train,1636,CHEMBL3752674
3class_dedup,train,1055,CHEMBL4515706
3class_dedup,train,2890,CHEMBL135115
3class_dedup,train,125,CHEMBL5283822
3class_dedup,train,1951,CHEMBL1097980
3class_dedup,train,137,CHEMBL5077976
3class_dedup,train,2392,CHEMBL1825045
3class_dedup,train,939,CHEMBL3134114
3class_dedup,train,1422,CHEMBL1630276
3class_dedup,train,812,CHEMBL431859
3class_dedup,train,1950,CHEMBL26208
3class_dedup,train,2707,CHEMBL4446561
3class_dedup,train,2626,CHEMBL252642
3class_dedup,train,421,CHEMBL5273492
3class_dedup,train,2301,CHEMBL5397197
3class_dedup,train,2637,CHEMBL3105524
3class_dedup,train,2542,CHEMBL163413
3class_dedup,train,2175,CHEMBL1956188
3class_dedup,train,897,CHEMBL1991089
3class_dedup,train,2079,CHEMBL5408838
3class_dedup,train,2782,CHEMBL4439561
3class_dedup,train,1939,CHEMBL1939537
3class_dedup,train,2427,CHEMBL3359963
3class_dedup,train,2150,CHEMBL4763409
3class_dedup,train,1958,CHEMBL336708
3class_dedup,train,2462,CHEMBL1171628
3class_dedup,train,2601,CHEMBL2165318
3class_dedup,train,3055,CHEMBL4227458
3class_dedup,train,1155,CHEMBL4173941
3class_dedup,train,579,CHEMBL3754285
3class_dedup,train,1475,CHEMBL3754259
3class_dedup,train,475,CHEMBL1668329
3class_dedup,train,482,CHEMBL29864
3class_dedup,train,158,CHEMBL1630269
3class_dedup,train,2350,CHEMBL226842
3class_dedup,train,1274,CHEMBL196328
3class_dedup,train,2919,CHEMBL2442772
3class_dedup,train,1986,CHEMBL517347
3class_dedup,train,1121,CHEMBL224037
3class_dedup,train,489,CHEMBL5270074
3class_dedup,train,878,CHEMBL151691
3class_dedup,train,2674,CHEMBL3968178
3class_dedup,train,2924,CHEMBL1215664
3class_dedup,train,1569,CHEMBL3349657
3class_dedup,train,2517,CHEMBL323546
3class_dedup,train,2050,CHEMBL3415161
3class_dedup,train,1861,CHEMBL1824766
3class_dedup,train,416,CHEMBL5285403
3class_dedup,train,2496,CHEMBL394855
3class_dedup,train,649,CHEMBL5268890
3class_dedup,train,1831,CHEMBL2336862
3class_dedup,train,1405,CHEMBL3623209
3class_dedup,train,2791,CHEMBL188664
3class_dedup,train,726,CHEMBL41429
3class_dedup,train,2765,CHEMBL4547558
3class_dedup,train,704,CHEMBL4087613
3class_dedup,train,1467,CHEMBL3754253
3class_dedup,train,912,CHEMBL3964421
3class_dedup,train,1360,CHEMBL56367
3class_dedup,train,846,CHEMBL287967
3class_dedup,train,691,CHEMBL5284759
3class_dedup,train,2528,CHEMBL109347
3class_dedup,train,883,CHEMBL446083
3class_dedup,train,1311,CHEMBL1939550
3class_dedup,train,1545,CHEMBL3752788
3class_dedup,train,198,CHEMBL134509
3class_dedup,train,2621,CHEMBL2312958
3class_dedup,train,650,CHEMBL5276910
3class_dedup,train,1076,CHEMBL229633
3class_dedup,train,2164,CHEMBL609333
3class_dedup,train,126,CHEMBL5272700
3class_dedup,train,1984,CHEMBL491013
3class_dedup,train,693,CHEMBL5266502
3class_dedup,train,2169,CHEMBL589247
3class_dedup,train,359,CHEMBL70367
3class_dedup,train,2527,CHEMBL4858552
3class_dedup,train,2369,CHEMBL5411834
3class_dedup,train,2753,CHEMBL1083653
3class_dedup,train,2291,CHEMBL5423400
3class_dedup,train,2676,CHEMBL3922888
3class_dedup,train,2199,CHEMBL5416513
3class_dedup,train,1937,CHEMBL4229272
3class_dedup,train,1816,CHEMBL4585518
3class_dedup,train,1860,CHEMBL1824752
3class_dedup,train,1956,CHEMBL344904
3class_dedup,train,2037,CHEMBL5421450
3class_dedup,train,794,CHEMBL5274587
3class_dedup,train,1250,CHEMBL5426214
3class_dedup,train,1518,CHEMBL197451
3class_dedup,train,3053,CHEMBL4224875
3class_dedup,train,2767,CHEMBL1824765
3class_dedup,train,1976,CHEMBL137396
3class_dedup,train,2828,CHEMBL294878
3class_dedup,train,2064,CHEMBL4162931
3class_dedup,train,2903,CHEMBL29400
3class_dedup,train,586,CHEMBL1824743
3class_dedup,train,17,CHEMBL5434747
3class_dedup,train,2226,CHEMBL224790
3class_dedup,train,2365,CHEMBL322322
3class_dedup,train,1024,CHEMBL189472
3class_dedup,train,1592,CHEMBL5287546
3class_dedup,train,1213,CHEMBL3219600
3class_dedup,train,1560,CHEMBL3799363
3class_dedup,train,1204,CHEMBL225472
3class_dedup,train,603,CHEMBL5285831
3class_dedup,train,569,CHEMBL1824758
3class_dedup,train,1348,CHEMBL7162
3class_dedup,train,1857,CHEMBL212741
3class_dedup,train,2955,CHEMBL4228495
3class_dedup,train,2483,CHEMBL27386
3class_dedup,train,1968,CHEMBL29669
3class_dedup,train,433,CHEMBL3944017
3class_dedup,train,2974,CHEMBL2420686
3class_dedup,train,2464,CHEMBL162431
3class_dedup,train,1110,CHEMBL133081
3class_dedup,train,2613,CHEMBL2312968
3class_dedup,train,571,CHEMBL1825040
3class_dedup,train,2572,CHEMBL90585
3class_dedup,train,2040,CHEMBL224060
3class_dedup,train,1282,CHEMBL202065
3class_dedup,train,1977,CHEMBL1195457
3class_dedup,train,1144,CHEMBL3805820
3class_dedup,train,1813,CHEMBL60376
3class_dedup,train,8,CHEMBL211207
3class_dedup,train,2264,CHEMBL161230
3class_dedup,train,2731,CHEMBL4288256
3class_dedup,train,1835,CHEMBL1389987
3class_dedup,train,1981,CHEMBL5440983
3class_dedup,train,2231,CHEMBL479551
3class_dedup,train,460,CHEMBL224462
3class_dedup,train,2151,CHEMBL163420
3class_dedup,train,2538,CHEMBL407953
3class_dedup,train,2084,CHEMBL5394566
3class_dedup,train,2748,CHEMBL202231
3class_dedup,train,2843,CHEMBL1688900
3class_dedup,train,2196,CHEMBL5438093
3class_dedup,train,331,CHEMBL367149
3class_dedup,train,2846,CHEMBL1688896
3class_dedup,train,1920,CHEMBL3415167
3class_dedup,train,2618,CHEMBL2312961
3class_dedup,train,2789,CHEMBL184749
3class_dedup,train,1628,CHEMBL3754425
3class_dedup,train,2258,CHEMBL1825031
3class_dedup,train,2511,CHEMBL135037
3class_dedup,train,2458,CHEMBL1939552
3class_dedup,train,2546,CHEMBL243756
3class_dedup,train,385,CHEMBL336383
3class_dedup,train,1134,CHEMBL493174
3class_dedup,train,1340,CHEMBL3924170
3class_dedup,train,2815,CHEMBL2333327
3class_dedup,train,752,CHEMBL2333330
3class_dedup,train,1629,CHEMBL5278613
3class_dedup,train,1310,CHEMBL1957209
3class_dedup,train,1189,CHEMBL3793530
3class_dedup,train,1909,CHEMBL162496
3class_dedup,train,970,CHEMBL388507
3class_dedup,train,1595,CHEMBL5268166
3class_dedup,train,2189,CHEMBL5417855
3class_dedup,train,2397,CHEMBL1956175
3class_dedup,train,716,CHEMBL39781
3class_dedup,train,2118,CHEMBL371509
3class_dedup,train,2028,CHEMBL5400203
3class_dedup,train,241,CHEMBL3422038
3class_dedup,train,929,CHEMBL3751945
3class_dedup,train,2712,CHEMBL5408038
3class_dedup,train,2850,CHEMBL1688890
3class_dedup,train,406,CHEMBL319026
3class_dedup,train,2363,CHEMBL226737
3class_dedup,train,3062,CHEMBL4209034
3class_dedup,train,1564,CHEMBL5289229
3class_dedup,train,1843,CHEMBL5413902
3class_dedup,train,1923,CHEMBL3415172
3class_dedup,train,1361,CHEMBL3805657
3class_dedup,train,2646,CHEMBL1096744
3class_dedup,train,1625,CHEMBL1629800
3class_dedup,train,690,CHEMBL5266933
3class_dedup,train,1382,CHEMBL131984
3class_dedup,train,2481,CHEMBL1172396
3class_dedup,train,297,CHEMBL4852023
3class_dedup,train,1703,CHEMBL5273164
3class_dedup,train,505,CHEMBL5431722
3class_dedup,train,12,CHEMBL179222
3class_dedup,train,202,CHEMBL5412704
3class_dedup,train,1186,CHEMBL191488
3class_dedup,train,29,CHEMBL424162
3class_dedup,train,2854,CHEMBL225499
3class_dedup,train,2869,CHEMBL4099909
3class_dedup,train,694,CHEMBL1668326
3class_dedup,train,2337,CHEMBL5419258
3class_dedup,train,2600,CHEMBL2165313
3class_dedup,train,1478,CHEMBL3753463
3class_dedup,train,1828,CHEMBL3753425
3class_dedup,train,1689,CHEMBL5267936
3class_dedup,train,786,CHEMBL2051951
3class_dedup,train,285,CHEMBL172263
3class_dedup,train,1425,CHEMBL3754471
3class_dedup,train,2694,CHEMBL4166016
3class_dedup,train,1788,CHEMBL5268195
3class_dedup,train,199,CHEMBL132066
3class_dedup,train,2105,CHEMBL4167569
3class_dedup,train,1670,CHEMBL1835539
3class_dedup,train,95,CHEMBL441260
3class_dedup,train,1098,CHEMBL480515
3class_dedup,train,2945,CHEMBL480451
3class_dedup,train,2848,CHEMBL3359953
3class_dedup,train,1787,CHEMBL5285813
3class_dedup,train,1529,CHEMBL2113619
3class_dedup,train,2147,CHEMBL4760286
3class_dedup,train,66,CHEMBL5288360
3class_dedup,train,2865,CHEMBL3589964
3class_dedup,train,2923,CHEMBL459503
3class_dedup,train,802,CHEMBL3415157
3class_dedup,train,2849,CHEMBL1688892
3class_dedup,train,1184,CHEMBL185819
3class_dedup,train,2873,CHEMBL223929
3class_dedup,train,7,CHEMBL1203766
3class_dedup,train,2275,CHEMBL592131
3class_dedup,train,286,CHEMBL102510
3class_dedup,train,92,CHEMBL31760
3class_dedup,train,773,CHEMBL1394757
3class_dedup,train,531,CHEMBL5430284
3class_dedup,train,2732,CHEMBL3806151
3class_dedup,train,2229,CHEMBL519937
3class_dedup,train,1811,CHEMBL450666
3class_dedup,train,975,CHEMBL1351273
3class_dedup,train,1530,CHEMBL442542
3class_dedup,train,1280,CHEMBL5278036
3class_dedup,train,1251,CHEMBL402970
3class_dedup,train,1277,CHEMBL5271052
3class_dedup,train,1314,CHEMBL5426057
3class_dedup,train,908,CHEMBL5270578
3class_dedup,train,1167,CHEMBL5291483
3class_dedup,train,2921,CHEMBL512578
3class_dedup,train,2800,CHEMBL253570
3class_dedup,train,1373,CHEMBL352891
3class_dedup,train,2720,CHEMBL5418690
3class_dedup,train,1959,CHEMBL133198
3class_dedup,train,1328,CHEMBL23148
3class_dedup,train,1642,CHEMBL5269817
3class_dedup,train,1211,CHEMBL365314
3class_dedup,train,746,CHEMBL5277162
3class_dedup,train,2278,CHEMBL592852
3class_dedup,train,976,CHEMBL343273
3class_dedup,train,2298,CHEMBL5413770
3class_dedup,train,2628,CHEMBL399910
3class_dedup,train,1305,CHEMBL5186519
3class_dedup,train,658,CHEMBL333185
3class_dedup,train,467,CHEMBL205503
3class_dedup,train,2286,CHEMBL5411472
3class_dedup,train,1614,CHEMBL5285807
3class_dedup,train,1443,CHEMBL5273309
3class_dedup,train,1082,CHEMBL5285636
3class_dedup,train,2971,CHEMBL2420676
3class_dedup,train,820,CHEMBL5432971
3class_dedup,train,1501,CHEMBL166032
3class_dedup,train,232,CHEMBL2011190
3class_dedup,train,2875,CHEMBL390152
3class_dedup,train,2539,CHEMBL5184829
3class_dedup,train,407,CHEMBL373074
3class_dedup,train,986,CHEMBL463435
3class_dedup,train,1859,CHEMBL2430509
3class_dedup,train,688,CHEMBL304305
3class_dedup,train,2247,CHEMBL5410695
3class_dedup,train,1009,CHEMBL193858
3class_dedup,train,281,CHEMBL2333332
3class_dedup,train,370,CHEMBL83835
3class_dedup,train,714,CHEMBL5423781
3class_dedup,train,1768,CHEMBL2431524
3class_dedup,train,99,CHEMBL3407537
3class_dedup,train,2658,CHEMBL5400347
3class_dedup,train,2530,CHEMBL4874326
3class_dedup,train,1599,CHEMBL5270168
3class_dedup,train,1672,CHEMBL5289056
3class_dedup,train,2475,CHEMBL26543
3class_dedup,train,1802,CHEMBL1939538
3class_dedup,train,2005,CHEMBL175554
3class_dedup,train,1914,CHEMBL4080420
3class_dedup,train,2876,CHEMBL2430497
3class_dedup,train,1102,CHEMBL1096439
3class_dedup,train,1010,CHEMBL3264685
3class_dedup,train,1508,CHEMBL165552
3class_dedup,train,170,CHEMBL304770
3class_dedup,train,261,CHEMBL457686
3class_dedup,train,516,CHEMBL3752315
3class_dedup,train,1534,CHEMBL41517
3class_dedup,train,2951,CHEMBL111234
3class_dedup,train,2485,CHEMBL1171987
3class_dedup,train,2161,CHEMBL598211
3class_dedup,train,2359,CHEMBL5425028
3class_dedup,train,2103,CHEMBL5402030
3class_dedup,train,1772,CHEMBL1630267
3class_dedup,train,399,CHEMBL3752165
3class_dedup,train,2142,CHEMBL76904
3class_dedup,train,928,CHEMBL5265959
3class_dedup,train,2493,CHEMBL1689259
3class_dedup,train,553,CHEMBL74295
3class_dedup,train,3036,CHEMBL225447
3class_dedup,train,500,CHEMBL1630262
3class_dedup,train,2578,CHEMBL413344
3class_dedup,train,2401,CHEMBL4527809
3class_dedup,train,2406,CHEMBL451201
3class_dedup,train,2178,CHEMBL5439983
3class_dedup,train,1533,CHEMBL3754724
3class_dedup,train,2615,CHEMBL2312971
3class_dedup,train,2877,CHEMBL161530
3class_dedup,train,2153,CHEMBL599456
3class_dedup,train,150,CHEMBL404981
3class_dedup,train,885,CHEMBL3752166
3class_dedup,train,1075,CHEMBL229841
3class_dedup,train,2087,CHEMBL3623226
3class_dedup,train,2524,CHEMBL162549
3class_dedup,train,2553,CHEMBL388930
3class_dedup,train,2733,CHEMBL3960724
3class_dedup,train,742,CHEMBL2179108
3class_dedup,train,2585,CHEMBL10072
3class_dedup,train,308,CHEMBL5087363
3class_dedup,train,2046,CHEMBL135595
3class_dedup,train,2284,CHEMBL5439970
3class_dedup,train,1510,CHEMBL349963
3class_dedup,train,380,CHEMBL422610
3class_dedup,train,358,CHEMBL302530
3class_dedup,train,737,CHEMBL4074186
3class_dedup,train,2625,CHEMBL9352
3class_dedup,train,310,CHEMBL133026
3class_dedup,train,2173,CHEMBL209731
3class_dedup,train,2515,CHEMBL102409
3class_dedup,train,638,CHEMBL358214
3class_dedup,train,2610,CHEMBL2312964
3class_dedup,train,154,CHEMBL1630265
3class_dedup,train,2006,CHEMBL5395333
3class_dedup,train,334,CHEMBL8739
3class_dedup,train,171,CHEMBL2111917
3class_dedup,train,2127,CHEMBL176076
3class_dedup,train,1910,CHEMBL572637
3class_dedup,train,1955,CHEMBL5424344
3class_dedup,train,291,CHEMBL3894912
3class_dedup,train,243,CHEMBL1171991
3class_dedup,train,2642,CHEMBL3105528
3class_dedup,train,1697,CHEMBL1629803
3class_dedup,train,2563,CHEMBL2235952
3class_dedup,train,607,CHEMBL5269206
3class_dedup,train,2009,CHEMBL204483
3class_dedup,train,2749,CHEMBL135606
3class_dedup,train,1394,CHEMBL5401526
3class_dedup,train,185,CHEMBL5274290
3class_dedup,train,2902,CHEMBL282079
3class_dedup,train,1806,CHEMBL3415175
3class_dedup,train,1566,CHEMBL274826
3class_dedup,train,161,CHEMBL5287129
3class_dedup,train,1068,CHEMBL5291490
3class_dedup,train,217,CHEMBL3084923
3class_dedup,train,386,CHEMBL133240
3class_dedup,train,52,CHEMBL177268
3class_dedup,train,1548,CHEMBL5267688
3class_dedup,train,1713,CHEMBL5286833
3class_dedup,train,2477,CHEMBL369603
3class_dedup,train,1945,CHEMBL291646
3class_dedup,train,1451,CHEMBL5291085
3class_dedup,train,849,CHEMBL599238
3class_dedup,train,2086,CHEMBL29952
3class_dedup,train,2074,CHEMBL5396408
3class_dedup,train,753,CHEMBL1784806
3class_dedup,train,1424,CHEMBL5273618
3class_dedup,train,1396,CHEMBL5283920
3class_dedup,train,138,CHEMBL3925065
3class_dedup,train,1398,CHEMBL3754711
3class_dedup,train,520,CHEMBL5277980
3class_dedup,train,459,CHEMBL5072101
3class_dedup,train,2346,CHEMBL390079
3class_dedup,train,732,CHEMBL2442771
3class_dedup,train,394,CHEMBL302249
3class_dedup,train,2811,CHEMBL1083663
3class_dedup,train,2274,CHEMBL597606
3class_dedup,train,456,CHEMBL5074047
3class_dedup,train,598,CHEMBL73219
3class_dedup,train,2705,CHEMBL4536389
3class_dedup,train,431,CHEMBL5177269
3class_dedup,train,2344,CHEMBL226946
3class_dedup,train,1889,CHEMBL2312970
3class_dedup,train,1104,CHEMBL88169
3class_dedup,train,1004,CHEMBL2096873
3class_dedup,train,2143,CHEMBL3422040
3class_dedup,train,783,CHEMBL3753084
3class_dedup,train,2109,CHEMBL195653
3class_dedup,train,2023,CHEMBL5393912
3class_dedup,train,234,CHEMBL442813
3class_dedup,train,2025,CHEMBL4228031
3class_dedup,train,1987,CHEMBL478648
3class_dedup,train,2494,CHEMBL1689257
3class_dedup,train,39,CHEMBL4210489
3class_dedup,train,926,CHEMBL5269898
3class_dedup,train,1474,CHEMBL5282027
3class_dedup,train,183,CHEMBL410525
3class_dedup,train,1295,CHEMBL2420677
3class_dedup,train,818,CHEMBL5395602
3class_dedup,train,1431,CHEMBL3754457
3class_dedup,train,1188,CHEMBL190208
3class_dedup,train,1667,CHEMBL3623220
3class_dedup,train,782,CHEMBL5277446
3class_dedup,train,1270,CHEMBL2096872
3class_dedup,train,1162,CHEMBL556429
3class_dedup,train,2300,CHEMBL5415771
3class_dedup,train,1337,CHEMBL2011181
3class_dedup,train,593,CHEMBL39513
3class_dedup,train,1135,CHEMBL490867
3class_dedup,train,244,CHEMBL1173335
3class_dedup,train,345,CHEMBL5270517
3class_dedup,train,2817,CHEMBL2333335
3class_dedup,train,614,CHEMBL328546
3class_dedup,train,378,CHEMBL307643
3class_dedup,train,2311,CHEMBL5401315
3class_dedup,train,2,CHEMBL1957219
3class_dedup,train,78,CHEMBL5401807
3class_dedup,train,70,CHEMBL53068
3class_dedup,train,211,CHEMBL3622076
3class_dedup,train,1725,CHEMBL1630911
3class_dedup,train,905,CHEMBL5271699
3class_dedup,train,674,CHEMBL8254
3class_dedup,train,719,CHEMBL287950
3class_dedup,train,1444,CHEMBL3753611
3class_dedup,train,1810,CHEMBL424414
3class_dedup,train,240,CHEMBL225128
3class_dedup,train,413,CHEMBL321729
3class_dedup,train,377,CHEMBL25523
3class_dedup,train,893,CHEMBL1915401
3class_dedup,train,2968,CHEMBL5175340
3class_dedup,train,412,CHEMBL104566
3class_dedup,train,872,CHEMBL374535
3class_dedup,train,2590,CHEMBL285973
3class_dedup,train,1334,CHEMBL137002
3class_dedup,train,2871,CHEMBL4080965
3class_dedup,train,1948,CHEMBL29997
3class_dedup,train,493,CHEMBL29863
3class_dedup,train,219,CHEMBL103685
3class_dedup,train,993,CHEMBL493173
3class_dedup,train,1397,CHEMBL3754220
3class_dedup,train,1118,CHEMBL388093
3class_dedup,train,1571,CHEMBL3349550
3class_dedup,train,1477,CHEMBL5286289
3class_dedup,train,3046,CHEMBL351271
3class_dedup,train,292,CHEMBL24387
3class_dedup,train,1151,CHEMBL1784807
3class_dedup,train,2420,CHEMBL367483
3class_dedup,train,75,CHEMBL5394232
3class_dedup,train,1103,CHEMBL1098382
3class_dedup,train,1108,CHEMBL2011183
3class_dedup,train,56,CHEMBL194928
3class_dedup,train,720,CHEMBL5436290
3class_dedup,train,201,CHEMBL102981
3class_dedup,train,1047,CHEMBL2336852
3class_dedup,train,1880,CHEMBL2011172
3class_dedup,train,1411,CHEMBL5421289
3class_dedup,train,389,CHEMBL71082
3class_dedup,train,1498,CHEMBL3623216
3class_dedup,train,1739,CHEMBL5271891
3class_dedup,train,2659,CHEMBL92065
3class_dedup,train,233,CHEMBL457678
3class_dedup,train,724,CHEMBL5425388
3class_dedup,train,2124,CHEMBL1939529
3class_dedup,train,2280,CHEMBL5404073
3class_dedup,train,1119,CHEMBL226945
3class_dedup,train,1988,CHEMBL514514
3class_dedup,train,2414,CHEMBL509962
3class_dedup,train,2434,CHEMBL3422043
3class_dedup,train,156,CHEMBL1630270
3class_dedup,train,1524,CHEMBL41033
3class_dedup,train,1329,CHEMBL90427
3class_dedup,train,188,CHEMBL3753842
3class_dedup,train,2460,CHEMBL1172402
3class_dedup,train,1707,CHEMBL5266698
3class_dedup,train,2155,CHEMBL601840
3class_dedup,train,1019,CHEMBL194472
3class_dedup,train,2747,CHEMBL4163983
3class_dedup,train,1469,CHEMBL5284734
3class_dedup,train,1751,CHEMBL5266109
3class_dedup,train,80,CHEMBL5395683
3class_dedup,train,1238,CHEMBL390569
3class_dedup,train,2752,CHEMBL3421786
3class_dedup,train,2641,CHEMBL2011187
3class_dedup,train,2682,CHEMBL4128368
3class_dedup,train,417,CHEMBL206550
3class_dedup,train,2706,CHEMBL4462178
3class_dedup,train,584,CHEMBL5290853
3class_dedup,train,2207,CHEMBL225360
3class_dedup,train,2212,CHEMBL202226
3class_dedup,train,666,CHEMBL5279458
3class_dedup,train,1190,CHEMBL209047
3class_dedup,train,766,CHEMBL25059
3class_dedup,train,1655,CHEMBL5291258
3class_dedup,train,2376,CHEMBL3623232
3class_dedup,train,2486,CHEMBL1173129
3class_dedup,train,659,CHEMBL88842
3class_dedup,train,1598,CHEMBL5268519
3class_dedup,train,2942,CHEMBL4749692
